cutoff,horizon_years,n_benchmarks,n_train,n_test,crps,rmse,coverage80,bias,frac_above_interval,frac_below_interval,rhat_max
2022-01-01,4.246406570841889,7,37,104,0.10790835169993766,0.21572989600312556,0.6538461538461539,0.0850568387053101,0.3076923076923077,0.038461538461538464,1.0284834443641122
2023-01-01,3.247091033538672,7,72,69,0.050821812762549316,0.09975538877966653,0.6666666666666666,-0.0057196991625152365,0.2028985507246377,0.13043478260869565,1.0243936295303822
2024-01-01,2.2477754962354553,15,153,195,0.17158433947929494,0.31002407852495156,0.5282051282051282,0.21455153755572573,0.4666666666666667,0.005128205128205128,1.0437249237596105
2025-01-01,1.2457221081451062,40,480,320,0.06366219237868101,0.13439855443419613,0.8,0.03318432559183909,0.13125,0.06875,1.0090736905882645
