variant,n_test,coverage80,cqr_coverage,cqr_Q,crps,rmse
Harvey Joint (skew),298,0.8422818791946308,0.6577181208053692,-0.01765833589147167,0.050677159964176155,0.09769681817776195
Harvey Joint (normal),298,0.8489932885906041,0.5838926174496645,-0.026306977789368146,0.05403075870241437,0.1013470588321456
Harvey Independent (skew),298,0.8355704697986577,0.6711409395973155,-0.01445740123966645,0.05369126655183218,0.10805009599248232
Harvey Independent (normal),298,0.8557046979865772,0.6308724832214765,-0.03583107413780476,0.060645371140100615,0.1128403593007943
Logistic Joint (skew),298,0.7818791946308725,0.7986577181208053,0.0019963851845016902,0.05251851760152181,0.10161244023205163
Logistic Joint (normal),298,0.825503355704698,0.8053691275167785,-0.005335194269862453,0.05425276934580512,0.10221788141656121
Logistic Independent (skew),298,0.785234899328859,0.7651006711409396,-0.00025469504187825953,0.053843060325878524,0.10567160387758542
Logistic Independent (normal),298,0.8590604026845637,0.738255033557047,-0.021681768586472076,0.05836930645566872,0.10690579302854206
