date,score,model_id,rank,date_dt,days
2024-05-13,0.3611999999999999,gpt-4o,1,2024-05-13,0
2025-02-24,0.4645,claude-37-sonnet-thinking,1,2025-02-24,287
2025-04-05,0.402,llama4-maverick,2,2025-04-05,327
2025-04-16,0.5209,o3-2025-04-16-high,2,2025-04-16,338
2025-04-16,0.5276,o3-2025-04-16-medium,1,2025-04-16,338
2025-05-14,0.4971,claude-4-opus-20250514-thinking,3,2025-05-14,366
2025-06-05,0.5565,gemini-2.5-pro-preview-06-05,1,2025-06-05,388
2025-06-10,0.5462,o3-pro-2025-06-10,2,2025-06-10,393
2025-08-07,0.5533,gpt-5-2025-08-07,2,2025-08-07,451
